Image,Device
0_Indoor_Scene_0.jpg,SamsungGalaxyS20Ultra
1_Indoor_Scene_0.jpg,SamsungGalaxyZFold2
2_Indoor_Scene_0.JPG,SonyXperia1
3_Indoor_Scene_0.JPG,SonyXperia1MarkII
4_Indoor_Scene_0.JPG,SonyXperia5MarkII
5_Indoor_Scene_0.jpg,VivoX51
6_Indoor_Scene_0.jpg,XiaomiMi10Pro
7_Indoor_Scene_0.jpg,XiaomiMi10Ultra
8_Indoor_Scene_0.tiff,AppleiPhone11ProMax
9_Indoor_Scene_0.jpg,XiaomiMiCC9ProPremiumEdition
10_Indoor_Scene_0.jpg,ZTEAxon20_5G
11_Indoor_Scene_0.JPG,AppleiPhone13ProMax
12_Indoor_Scene_0.jpg,AsusZF8
13_Indoor_Scene_0.jpg,AsusZF8Flip
14_Indoor_Scene_0.jpg,GooglePixel6Pro
15_Indoor_Scene_0.jpg,HuaweiMate40Pro
16_Indoor_Scene_0.jpg,HuaweiMate40ProPlus
17_Indoor_Scene_0.jpg,HuaweiP50Pro
18_Indoor_Scene_0.JPG,LeicaLeitzPhone1
19_Indoor_Scene_0.jpg,MotorolaEdge20Pro
20_Indoor_Scene_0.jpg,MotorolaG20
21_Indoor_Scene_0.JPG,AppleiPhone12
22_Indoor_Scene_0.jpg,OnePlusNord2
23_Indoor_Scene_0.jpg,OppoA945G
24_Indoor_Scene_0.jpg,OppoFindX3Lite
25_Indoor_Scene_0.jpg,OppoFindX3Pro
26_Indoor_Scene_0.jpg,OppoReno5ProPlus5G
27_Indoor_Scene_0.jpg,OppoReno6
28_Indoor_Scene_0.jpg,OppoReno6ProPlus5G
29_Indoor_Scene_0.jpg,Realme8Pro
30_Indoor_Scene_0.jpg,RealmeGTNeo
31_Indoor_Scene_0.tiff,AppleiPhone11
32_Indoor_Scene_0.jpg,SamsungGalaxyA12
33_Indoor_Scene_0.jpg,SamsungGalaxyA225G
34_Indoor_Scene_0.jpg,SamsungGalaxyA525G
35_Indoor_Scene_0.jpg,SamsungGalaxyA52S5G
36_Indoor_Scene_0.jpeg,AppleiPhone12Mini
37_Indoor_Scene_0.jpg,SamsungGalaxyA72
38_Indoor_Scene_0.jpg,SamsungGalaxyS21Plus5G
39_Indoor_Scene_0.jpg,SmartphoneForSnapdragonInsiders
40_Indoor_Scene_0.JPG,SonyXperia1II
41_Indoor_Scene_0.JPG,SonyXperia1III
42_Indoor_Scene_0.JPG,SonyXperia5III
43_Indoor_Scene_0.jpg,TCL20Pro5G
44_Indoor_Scene_0.jpg,VivoV215G
45_Indoor_Scene_0.jpg,VivoX60Pro5G_Snapdragon
46_Indoor_Scene_0.jpg,VivoX60ProPlus
47_Indoor_Scene_0.jpg,VivoX70Pro
48_Indoor_Scene_0.jpg,VivoX70ProPlus
49_Indoor_Scene_0.jpg,VivoY725G
50_Indoor_Scene_0.jpg,Xiaomi11T
51_Indoor_Scene_0.jpg,XiaomiMi10TPro
52_Indoor_Scene_0.jpg,XiaomiMi11
53_Indoor_Scene_0.jpg,XiaomiMi11i
54_Indoor_Scene_0.jpg,XiaomiMi11Pro
55_Indoor_Scene_0.jpg,XiaomiMi11Ultra
56_Indoor_Scene_0.jpg,XiaomiRedmiNote10Pro
57_Indoor_Scene_0.jpg,XiaomiRedmiNote10S
58_Indoor_Scene_0.jpg,ZTEaxon30ultra
59_Indoor_Scene_0.jpg,HuaweiMate30Pro5G
60_Indoor_Scene_0.jpg,LGWing
61_Indoor_Scene_0.jpg,OnePlus8Pro
62_Indoor_Scene_0.jpg,OnePlusNord
63_Indoor_Scene_0.jpg,OppoFindX2Pro
64_Indoor_Scene_0.jpg,OppoReno45G
65_Indoor_Scene_0.jpg,OppoReno4Pro5G
66_Indoor_Scene_0.jpg,SamsungGalaxyA50
67_Indoor_Scene_0.jpg,SamsungGalaxyNote10Plus5G
68_Indoor_Scene_0.jpg,SamsungGalaxyNote20
69_Indoor_Scene_0.jpg,SamsungGalaxyNote20QTI
70_Indoor_Scene_0.jpg,SamsungGalaxyNote20Ultra5G
71_Indoor_Scene_0.jpg,SamsungGalaxyNote20Ultra5G_QTI
72_Indoor_Scene_1.jpg,SamsungGalaxyS20Ultra
73_Indoor_Scene_1.jpg,SamsungGalaxyZFold2
74_Indoor_Scene_1.JPG,SonyXperia1
75_Indoor_Scene_1.JPG,SonyXperia1MarkII
76_Indoor_Scene_1.jpg,VivoX51
77_Indoor_Scene_1.jpg,XiaomiMi10Pro
78_Indoor_Scene_1.jpg,XiaomiMi10Pro
79_Indoor_Scene_1.jpg,XiaomiMi10Ultra
80_Indoor_Scene_1.jpg,XiaomiMi10Ultra
81_Indoor_Scene_1.tif,AppleiPhone11ProMax
82_Indoor_Scene_1.jpg,XiaomiMiCC9ProPremiumEdition
83_Indoor_Scene_1.jpeg,AppleiPhone11ProMax
84_Indoor_Scene_1.jpg,XiaomipocoX3_NFC
85_Indoor_Scene_1.jpg,ZTEAxon20_5G
86_Indoor_Scene_1.jpeg,AppleiPhone12ProMax
87_Indoor_Scene_1.JPG,AppleiPhone12ProMax
88_Indoor_Scene_1.JPG,AppleiPhone13ProMax
89_Indoor_Scene_1.JPG,AppleiPhone13ProMax
90_Indoor_Scene_1.jpg,AsusZF8
91_Indoor_Scene_1.jpg,AsusZF8Flip
92_Indoor_Scene_1.jpg,GooglePixel5
93_Indoor_Scene_1.jpg,GooglePixel6Pro
94_Indoor_Scene_1.jpg,HuaweiMate40Pro
95_Indoor_Scene_1.jpg,HuaweiMate40ProPlus
96_Indoor_Scene_1.jpg,HuaweiMate40ProPlus
97_Indoor_Scene_1.jpg,HuaweiP50Pro
98_Indoor_Scene_1.jpg,HuaweiP50Pro
99_Indoor_Scene_1.JPG,LeicaLeitzPhone1
100_Indoor_Scene_1.jpg,MotorolaEdge20Pro
101_Indoor_Scene_1.jpg,MotorolaG20
102_Indoor_Scene_1.jpg,OnePlus9
103_Indoor_Scene_1.jpg,OnePlus9
104_Indoor_Scene_1.jpg,OnePlus9Pro
105_Indoor_Scene_1.jpg,OnePlusNord2
106_Indoor_Scene_1.jpg,OnePlusNordCE5G
107_Indoor_Scene_1.jpg,OppoA945G
108_Indoor_Scene_1.jpg,OppoA945G
109_Indoor_Scene_1.JPG,AppleiPhone12
110_Indoor_Scene_1.jpg,OppoFindX3Lite
111_Indoor_Scene_1.jpg,OppoFindX3Neo
112_Indoor_Scene_1.jpg,OppoFindX3Pro
113_Indoor_Scene_1.jpg,OppoFindX3Pro
114_Indoor_Scene_1.jpg,OppoReno5ProPlus5G
115_Indoor_Scene_1.jpg,OppoReno6
116_Indoor_Scene_1.jpg,OppoReno6ProPlus5G
117_Indoor_Scene_1.jpg,Realme8Pro
118_Indoor_Scene_1.jpg,Realme8Pro
119_Indoor_Scene_1.jpg,RealmeGTNeo
120_Indoor_Scene_1.jpg,SamsungGalaxyA12
121_Indoor_Scene_1.jpg,SamsungGalaxyA225G
122_Indoor_Scene_1.tiff,AppleiPhone11
123_Indoor_Scene_1.jpg,SamsungGalaxyA525G
124_Indoor_Scene_1.jpg,SamsungGalaxyA525G
125_Indoor_Scene_1.jpg,SamsungGalaxyA52S5G
126_Indoor_Scene_1.jpg,SamsungGalaxyA72
127_Indoor_Scene_1.jpg,SamsungGalaxyA72
128_Indoor_Scene_1.jpeg,AppleiPhone12Mini
129_Indoor_Scene_1.jpg,SamsungGalaxyS215G_snapdragon
130_Indoor_Scene_1.JPG,AppleiPhone11
131_Indoor_Scene_1.jpg,SamsungGalaxyS21Plus5G
132_Indoor_Scene_1.jpg,SamsungGalaxyS21Plus5G
133_Indoor_Scene_1.jpg,SamsungGalaxyS21Ultra5G_Snapdragon
134_Indoor_Scene_1.jpg,SamsungGalaxyS21Ultra5G_Snapdragon
135_Indoor_Scene_1.jpg,SamsungGalaxyZFlip35G
136_Indoor_Scene_1.jpg,SamsungGalaxyZFold25G
137_Indoor_Scene_1.jpg,SmartphoneForSnapdragonInsiders
138_Indoor_Scene_1.JPG,SonyXperia1II
139_Indoor_Scene_1.JPG,SonyXperia1III
140_Indoor_Scene_1.tiff,AppleiPhone12Pro
